Day	Total Confirmed Cases in US
1	1
2	1
3	2
4	2
5	5
6	5
7	5
8	6
9	6
10	8
11	8
12	8
13	11
14	11
15	11
16	12
17	12
18	12
19	12
20	12
21	13
22	13
23	14
24	14
25	14
26	14
27	14
28	14
29	14
30	14
31	16
32	16
33	16
34	16
35	16
36	16
37	17
38	17
39	25
40	32
41	55
42	74
43	107
44	184
45	237
46	403
47	519
48	594
49	782
50	1147
51	1586
52	2219
53	2978
54	3212
55	4679
56	6511
57	9165
58	13659
59	20026
60	26022
61	34824
62	46043
63	56620
64	68654
65	86548
66	105179
67	124786
68	143715
69	165728
70	192091
71	217910
72	248302
73	280302
74	313303
75	341487
76	371672
77	403071
78	435087
79	469735
80	503271
81	532628
82	559587
83	585378
84	613969
85	643977
86	675499
87	708305
88	736156
89	761837
90	790259
91	816297
92	845594
93	879025
94	912591
95	944392
96	971491
97	994665
98	1019339
99	1047184
100	1076689
101	1110909
102	1138911
103	1163413
104	1186815
105	1211378
106	1236525
107	1264315
108	1291197
109	1316165
110	1335021
111	1354468
112	1377226
113	1398192
114	1425500
115	1450798
116	1474811
117	1492925
118	1514937
119	1535981
120	1559486
121	1585151
122	1608589
123	1629786
124	1649900
125	1668217
126	1687741
127	1706331
128	1729279
129	1753630
130	1777473
131	1796645
132	1814009
133	1835382
134	1855359
135	1877078
136	1902245
137	1924081
138	1941868
139	1959396
140	1977765
141	1998589
142	2021786
143	2046651
144	2071911
145	2091283
146	2111207
147	2135002
148	2160906
149	2189091
150	2220401
151	2252655
152	2278761
153	2309243
154	2345008
155	2379473
156	2420009
157	2465323
158	2507672
159	2547023
160	2587708
161	2633871
162	2685191
163	2740301
164	2792849
165	2838589
166	2888566
167	2933216
168	2993372
169	3052545
170	3115816
171	3183535
172	3243686
173	3302565
174	3362035
175	3428992
176	3496615
177	3573977
178	3645987
179	3708735
180	3769990
181	3831932
182	3896363
183	3967668
184	4036741
185	4109848
186	4176302
187	4231104
188	4287684
189	4353477
190	4424779
191	4492558
192	4559711
193	4617614
194	4664943
195	4709773
196	4767233
197	4820885
198	4880525
199	4938857
200	4994547
201	5040670
202	5090430
203	5137333
204	5194337
205	5246314
206	5310915
207	5358340
208	5399753
209	5435692
210	5481046
211	5528376
212	5572457
213	5620676
214	5665086
215	5699515
216	5737369
217	5775598
218	5820689
219	5866560
220	5912756
221	5958776
222	5994130
223	6028642
224	6071171
225	6111774
226	6155692
227	6205799
228	6249850
229	6280981
230	6305037
231	6331773
232	6365325
233	6401685
234	6449207
235	6490330
236	6524954
237	6558900
238	6598091
239	6636642
240	6681372
241	6730088
242	6774138
243	6810352
244	6862816
245	6901781
246	6940214
247	6984346
248	7034931
249	7079803
250	7116225
251	7149537
252	7191637
253	7233042
254	7277791
255	7332297
256	7382341
257	7417845
258	7457402
259	7499341
260	7549682
261	7605873
262	7663293
263	7717932
264	7762546
265	7804199
266	7856605
267	7916099
268	7979709
269	8048865
270	8106384
271	8154594
272	8212981
273	8273296
